 We force_max Ec El
1 80 3.1378966622326594 0.5 0.00625
2 80 3.1420854524374087 1.0 0.0125
3 80 3.214773282461626 5.0 0.0625
4 80 6.435706550518573 150.0 1.875
5 80 3.252718793728539 10.0 0.125
6 80 3.438996758129595 20.0 0.25
7 80 3.6646986303404727 30.0 0.375
8 80 3.915779643203869 40.0 0.5
9 80 4.17499183705299 50.0 0.625
10 80 4.4425816113116765 60.0 0.75
11 80 4.730868937170506 70.0 0.875
12 80 4.994269921224436 80.0 1.0
13 80 5.228102974421034 90.0 1.125
14 80 5.44444166852706 100.0 1.25
15 80 7.224184706713646 200.0 2.5
16 80 8.583077529031119 300.0 3.75
17 80 9.733023639956878 400.0 5.0
18 80 10.740008805187529 500.0 6.25
19 80 11.670955108230103 600.0 7.5
20 80 12.533402371453253 700.0 8.75
21 80 13.26466658143944 800.0 10.0
22 80 14.057333527839294 900.0 11.25
23 80 14.644996153628457 1000.0 12.5
24 80 19.8981579494512 2000.0 25.0
25 80 23.54361278479189 3000.0 37.5
26 80 26.551385911309943 4000.0 50.0
27 80 29.14934998013985 5000.0 62.5
28 80 31.48830883063661 6000.0 75.0
29 80 33.6904642570394 7000.0 87.5
30 80 35.48721624745156 8000.0 100.0
31 80 37.25081273139581 9000.0 112.5
32 80 38.91075390573128 10000.0 125.0
0 100 3.1258230904658824 0.1 0.001
1 100 3.142578251285017 0.5 0.005
2 100 3.1149815158182164 1.0 0.01
3 100 3.176827771194769 5.0 0.05
4 100 3.204917305509233 10.0 0.1
5 100 3.34659697420053 20.0 0.2
6 100 3.5158733783586382 30.0 0.3
7 100 3.702151342759722 40.0 0.4
8 100 3.905430867403813 50.0 0.5
9 100 4.114131179371682 60.0 0.6
10 100 4.323324290187174 70.0 0.7
11 100 4.540155783140821 80.0 0.8
12 100 4.792961591970863 90.0 0.9
13 100 4.995748317767276 100.0 1.0
14 100 5.873423065381946 150.0 1.5
15 100 6.657466031948439 200.0 2.0
16 100 7.853488835126848 300.0 3.0
17 100 8.853131297527938 400.0 4.0
18 100 9.706905301032911 500.0 5.0
19 100 10.560925703961722 600.0 6.0
20 100 11.355071046904497 700.0 7.0
21 100 12.079978151756317 800.0 8.0
22 100 12.668872774664525 900.0 9.0
23 100 13.28186526122144 1000.0 10.0
24 100 17.921598443506984 2000.0 20.0
25 100 21.394566290197567 3000.0 30.0
26 100 24.14480273894826 4000.0 40.0
27 100 26.59435797082258 5000.0 50.0
28 100 28.762919299782872 6000.0 60.0
29 100 30.57940147765737 7000.0 70.0
30 100 32.35815546855679 8000.0 80.0
31 100 33.95687131406382 9000.0 90.0
0 120 3.119416705446832 0.1 0.0008333333333333334
1 120 3.1258230904658824 0.5 0.004166666666666667
2 120 3.149477435151752 1.0 0.008333333333333333
3 120 3.1716533832947267 5.0 0.041666666666666664
4 120 5.428425705979339 150.0 1.25
5 120 3.2187156732426336 10.0 0.08333333333333333
6 120 3.287953911333509 20.0 0.16666666666666666
7 120 3.4215023990390607 30.0 0.25
8 120 3.5683564556303784 40.0 0.3333333333333333
9 120 3.7304872764979775 50.0 0.4166666666666667
10 120 3.899024482384709 60.0 0.5
11 120 4.072982475595245 70.0 0.5833333333333334
12 120 4.24866526477248 80.0 0.6666666666666666
13 120 4.43050803954495 90.0 0.75
14 120 4.6145684091317385 100.0 0.8333333333333334
15 120 6.141998437335898 200.0 1.6666666666666667
16 120 7.209154341861184 300.0 2.5
17 120 8.154096132176234 400.0 3.3333333333333335
18 120 8.959575848614268 500.0 4.166666666666667
19 120 9.752242795014142 600.0 5.0
20 120 10.443885977651512 700.0 5.833333333333333
21 120 11.022431824759648 800.0 6.666666666666667
22 120 11.658117698249573 900.0 7.5
23 120 12.271652263538863 1000.0 8.333333333333334
24 120 16.65386601601686 2000.0 16.666666666666668
25 120 19.80534322889225 3000.0 25.0
26 120 22.53726825806323 4000.0 33.333333333333336
27 120 24.82144019667555 5000.0 41.666666666666664
28 120 26.745745776812207 6000.0 50.0
29 120 28.32497389188974 7000.0 58.333333333333336
30 120 29.96644447261749 8000.0 66.66666666666667
31 120 31.519365014013747 9000.0 75.0
32 120 32.882523010357374 10000.0 83.33333333333333
0 150 3.1319830760611422 0.1 0.0006666666666666668
1 150 3.134693469723106 0.5 0.0033333333333333335
2 150 3.1268086881611272 1.0 0.006666666666666667
3 150 3.180030963704342 5.0 0.03333333333333333
4 150 4.951642820905119 150.0 1.0
5 150 3.1889013429614974 10.0 0.06666666666666667
6 150 3.237688428876076 20.0 0.13333333333333333
7 150 3.3330450058908987 30.0 0.2
8 150 3.4407215540963443 40.0 0.26666666666666666
9 150 3.5604716740684585 50.0 0.3333333333333333
10 150 3.688352975026322 60.0 0.4
11 150 3.824611856393791 70.0 0.4666666666666667
12 150 3.9635811314231497 80.0 0.5333333333333333
13 150 4.10328960472399 90.0 0.6
14 150 4.240534083786703 100.0 0.6666666666666666
15 150 5.599919704951764 200.0 1.3333333333333333
16 150 6.539194308519167 300.0 2.0
17 150 7.399621096467057 400.0 2.6666666666666665
18 150 8.153603333328602 500.0 3.3333333333333335
19 150 8.79806102630618 600.0 4.0
20 150 9.513728152765127 700.0 4.666666666666667
21 150 10.039298123753907 800.0 5.333333333333333
22 150 10.524704988661524 900.0 6.0
23 150 11.025142218421577 1000.0 6.666666666666667
24 150 15.127495505335178 2000.0 13.333333333333334
25 150 18.01368037217938 3000.0 20.0
26 150 20.44104979993376 4000.0 26.666666666666668
27 150 22.361757948482605 5000.0 33.333333333333336
28 150 24.159709904088825 6000.0 40.0
29 150 25.82852392167589 7000.0 46.666666666666664
30 150 27.45702699352714 8000.0 53.333333333333336
31 150 28.65825621653069 9000.0 60.0
32 150 29.95459561712526 10000.0 66.66666666666667
0 180 3.1361718662659395 0.1 0.0005555555555555556
1 180 3.1334614726040506 0.5 0.002777777777777778
2 180 3.100443949813335 1.0 0.005555555555555556
3 180 3.0974871567275994 5.0 0.027777777777777776
4 180 4.641425946327125 150.0 0.8333333333333334
5 180 3.2019605124234984 10.0 0.05555555555555555
6 180 3.3111154571717485 20.0 0.1111111111111111
7 180 3.277358736109633 30.0 0.16666666666666666
8 180 3.3628593361720616 40.0 0.2222222222222222
9 180 3.4547663212535404 50.0 0.2777777777777778
10 180 3.5555436855922498 60.0 0.3333333333333333
11 180 3.6624810355261648 70.0 0.3888888888888889
12 180 3.774839172783968 80.0 0.4444444444444444
13 180 3.889661304279922 90.0 0.5
14 180 4.006701030590077 100.0 0.5555555555555556
15 180 5.17118470752074 200.0 1.1111111111111112
16 180 6.089268960640348 300.0 1.6666666666666667
17 180 6.8380768096019136 400.0 2.2222222222222223
18 180 7.50483365043435 500.0 2.7777777777777777
19 180 8.138080169628523 600.0 3.3333333333333335
20 180 8.720568407517643 700.0 3.888888888888889
21 180 9.303795843678191 800.0 4.444444444444445
22 180 9.784521119533382 900.0 5.0
23 180 10.190267050722891 1000.0 5.555555555555555
24 180 13.916861216324673 2000.0 11.11111111111111
